,Title,Questions,answers
74,"EMA: b""Southeast Asia's largest energy storage system officially opens""",What type of batteries are used in the ESS?,The ESS uses lithium iron phosphate batteries with high energy density and fast response time.
75,"EMA: b""Southeast Asia's largest energy storage system officially opens""",Where is the Sembcorp Energy Storage System located?,The ESS is located on Jurong Island in Singapore.
76,"EMA: b""Southeast Asia's largest energy storage system officially opens""",What program is the ESS part of?,The ESS is part of the Energy Market Authority's Accelerating Energy Storage for Singapore (ACCESS) program.
77,"EMA: b""Southeast Asia's largest energy storage system officially opens""",What is the purpose of the ACCESS program?,The ACCESS program aims to accelerate the adoption of energy storage in Singapore.
78,"EMA: b""Southeast Asia's largest energy storage system officially opens""",How many battery units are there in the ESS?,The ESS comprises over 800 large-scale battery units.
79,"EMA: b""Southeast Asia's largest energy storage system officially opens""",What is the response time of the ESS?,The ESS has a fast response time due to the use of lithium iron phosphate batteries.
80,EMA: b'Proposed Changes to Strengthen Protection for Electricity Consumers',What is the purpose of the proposed enhancements to the electricity retailer regulatory framework?,The purpose is to strengthen consumer protection and ensure retailers are resilient against market volatility.
81,EMA: b'Proposed Changes to Strengthen Protection for Electricity Consumers',What is the proposed requirement for retailers' paid-up capital or tangible net worth?,Retailers would be required to have a paid-up capital or tangible net worth of at least $1 million.
82,EMA: b'Proposed Changes to Strengthen Protection for Electricity Consumers',What is one of the proposed changes regarding key appointment holders?,Retailers would need to seek approval for key appointment holders.
83,EMA: b'Proposed Changes to Strengthen Protection for Electricity Consumers',What is the proposed requirement for all retailers regarding hedging?,All retailers would be required to meet hedging requirements.
84,EMA: b'Proposed Changes to Strengthen Protection for Electricity Consumers',What aspect of consumer protection is being enhanced in the proposed changes?,Consumer protection against premature termination of contracts is being enhanced.
85,EMA: b'Proposed Changes to Strengthen Protection for Electricity Consumers',When will the public consultation for the proposed enhancements be open?,The public consultation will be open from 1 February 2023 to 3 March 2023.
86,EMA: b'Proposed Changes to Strengthen Protection for Electricity Consumers',What is the role of the Energy Market Authority (EMA) in this context?,The EMA is seeking feedback on the proposed enhancements to the electricity retailer regulatory framework.
87,EMA: b'Proposed Changes to Strengthen Protection for Electricity Consumers',What is the minimum paid-up capital or tangible net worth required for retailers?,Retailers must have at least $1 million in paid-up capital or tangible net worth.
88,EMA: b'Proposed Changes to Strengthen Protection for Electricity Consumers',What is one of the proposed requirements for retailers regarding hedging?,Retailers would need to meet hedging requirements.
89,EMA: b'Proposed Changes to Strengthen Protection for Electricity Consumers',What is the duration of the public consultation period?,The public consultation period will be from 1 February 2023 to 3 March 2023.
90,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What is the purpose of the Solar Forecasting Model?,To anticipate solar intermittency and enhance power grid resilience.
91,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',How far ahead can the model forecast Singapore's solar irradiance?,Up to one hour ahead.
92,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What is the average error rate of the model's solar irradiance forecast?,"Lower than 10%, which is one of the lowest for solar forecasting in the tropics."
93,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',Why is solar power generation in Singapore subject to imbalances?,Due to fluctuating weather conditions.
94,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What does the Solar Forecasting Model enable the power system operator to do?,Anticipate solar power output and take pre-emptive actions to manage solar intermittency and balance the power grid.
95,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What is Singapore's target solar capacity by 2030?,At least 2 gigawatt-peak (GWp).
96,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',How will the Solar Forecasting Model enhance grid resilience and flexibility?,By supporting the deployment of solar capacity and managing solar intermittency.
97,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What is the potential of the Solar Forecasting Model?,To be scaled up and commercialized to support solar farm operations across the region.
98,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',When will the Energy Management System (EMS) incorporate solar generation forecasts?,By 2023.
99,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',Who will receive the solar generation forecasts?,The wholesale electricity market operator to ensure accurate dispatch schedules for power generators.
