,Title,Questions,answers
39,Speech by 2M Tan See Leng at Committee of Supply 2021 - Joint Segment on Sustainability,What is the significance of Singapore's efforts to maximise and densify suitable solar deployment spaces?,"Singapore's efforts to maximise and densify suitable solar deployment spaces are significant because they will increase the deployment of solar panels on rooftops and open spaces, such as reservoirs, and explore innovative ways to deploy solar across all viable sites, contributing to the country's renewable energy goals."
40,Speech by MOS Low Yen Ling at Energy Innovation 2021,How much solar energy has Singapore deployed?,Singapore has deployed over 440 MWp of solar energy.
41,Speech by MOS Low Yen Ling at Energy Innovation 2021,What is Singapore's target for solar energy deployment by 2025?,Singapore aims to quadruple deployments to 1.5 GWp by 2025.
42,Speech by MOS Low Yen Ling at Energy Innovation 2021,What is Singapore's target for solar energy deployment by 2030?,Singapore aims to deploy at least 2 GWp of solar energy by 2030.
43,Speech by MOS Low Yen Ling at Energy Innovation 2021,How is Singapore working around land constraints for solar energy deployment?,"Singapore is deploying solar panels on vacant state land, integrating them into building facades, and even floating them across reservoirs."
44,Speech by MOS Low Yen Ling at Energy Innovation 2021,Will domestic solar generation be enough to meet all of Singapore's energy needs?,"No, domestic solar generation will not be enough to meet all energy needs."
45,Speech by MOS Low Yen Ling at Energy Innovation 2021,What will Singapore need to do to meet all of its energy needs?,Singapore will need to tap on renewable energy sources from regional power grids.
46,Speech by MOS Low Yen Ling at Energy Innovation 2021,What is the current status of Singapore's progress in solar energy?,Singapore is making progress in solar energy.
47,Speech by MOS Low Yen Ling at Energy Innovation 2021,What is one way Singapore is integrating solar panels into buildings?,Singapore is integrating solar panels into building facades.
48,Speech by MOS Low Yen Ling at Energy Innovation 2021,What is one way Singapore is deploying solar panels on water?,Singapore is floating solar panels across reservoirs.
49,Speech by MOS Low Yen Ling at Energy Innovation 2021,What type of land is Singapore deploying solar panels on?,Singapore is deploying solar panels on vacant state land.
50,Speech by Minister Gan Kim Yong at the MTI Singapore Green Plan Conversation,What is the Energy Reset pillar in Singapore?,"The Energy Reset pillar in Singapore aims to use cleaner energy sources across all sectors, including solar."
51,Speech by Minister Gan Kim Yong at the MTI Singapore Green Plan Conversation,How much has Singapore's installed solar capacity grown over the past five years?,Singapore's installed solar capacity has grown by more than six times over the past five years.
52,Speech by Minister Gan Kim Yong at the MTI Singapore Green Plan Conversation,What is Singapore's target for solar energy deployment by 2030?,"Singapore aims to quintuple its solar energy deployment to at least 2 gigawatt-peak by 2030, equivalent to powering around 350,000 households a year."
53,Speech by Minister Gan Kim Yong at the MTI Singapore Green Plan Conversation,Where will Singapore deploy solar panels?,"Singapore will continue to maximise solar panel deployment, including on rooftops, reservoirs and other open spaces."
54,Speech by Minister Gan Kim Yong at the MTI Singapore Green Plan Conversation,What is the size of the floating solar panel system at Tengeh Reservoir?,The floating solar panel system at Tengeh Reservoir is about the size of 45 football fields.
55,Speech by Minister Gan Kim Yong at the MTI Singapore Green Plan Conversation,When was the floating solar panel system at Tengeh Reservoir officially opened?,The floating solar panel system at Tengeh Reservoir was officially opened in July 2021.
56,Speech by Minister Gan Kim Yong at the MTI Singapore Green Plan Conversation,What is the capacity of the floating solar panel system at Tengeh Reservoir?,The capacity of the floating solar panel system at Tengeh Reservoir is 60 megawatt-peak.
57,Speech by Minister Gan Kim Yong at the MTI Singapore Green Plan Conversation,What is the equivalent number of households that can be powered by the solar energy generated at Tengeh Reservoir?,"The solar energy generated at Tengeh Reservoir can power around 122,000 households a year."
58,Speech by Minister Gan Kim Yong at the MTI Singapore Green Plan Conversation,What are some of the locations where Singapore will deploy solar panels?,"Singapore will deploy solar panels on rooftops, reservoirs and other open spaces."
59,Speech by Minister Gan Kim Yong at the MTI Singapore Green Plan Conversation,What is the aim of Singapore's Energy Reset pillar?,"The aim of Singapore's Energy Reset pillar is to use cleaner energy sources across all sectors, including solar."
60,Speech by Minister Gan Kim Yong at Singapore Energy Lecture,What is Singapore's most viable form of renewable energy?,Solar energy is Singapore's most viable form of renewable energy.
61,Speech by Minister Gan Kim Yong at Singapore Energy Lecture,What are the constraints for harnessing solar energy in Singapore?,Singapore has heavy cloud cover and limited land available to harness solar energy.
62,Speech by Minister Gan Kim Yong at Singapore Energy Lecture,What measures has Singapore put in place to reduce the power sector's carbon footprint?,Singapore has put in place measures to enhance the energy efficiency of existing power generation plants.
63,Speech by Minister Gan Kim Yong at Singapore Energy Lecture,What is the primary source of electricity generation in Singapore?,"Currently, about 95% of Singapore's electricity is generated using natural gas, the cleanest fossil fuel to date."
64,Speech by Minister Gan Kim Yong at Singapore Energy Lecture,What is Singapore's target for installed solar capacity by 2030?,Singapore's target is to have at least 2 giga-watt peak of installed capacity by 2030.
65,Speech by Minister Gan Kim Yong at Singapore Energy Lecture,Is Singapore on track to achieve its solar deployment target?,"Yes, Singapore is on track to quadruple its solar panel deployment and achieve its target of at least 2 giga-watt peak of installed capacity by 2030."
66,Speech by Minister Gan Kim Yong at Singapore Energy Lecture,What is Singapore reviewing in relation to solar deployment?,Singapore is reviewing its plans to further accelerate solar deployment.
67,Speech by Minister Gan Kim Yong at Singapore Energy Lecture,What percentage of Singapore's electricity is generated using natural gas?,"Currently, about 95% of Singapore's electricity is generated using natural gas."
68,Speech by Minister Gan Kim Yong at Singapore Energy Lecture,What is the cleanest fossil fuel to date?,Natural gas is the cleanest fossil fuel to date.
69,Speech by Minister Gan Kim Yong at Singapore Energy Lecture,What is Singapore's primary focus in terms of renewable energy?,Singapore's primary focus in terms of renewable energy is solar energy.
70,Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,What is a key pillar of efforts to combat climate change?,Decarbonising the power sector.
71,Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,What is one aspect of the shift towards decarbonising the power sector?,Maximising solar deployment.
72,Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,What percentage of electricity is currently generated using natural gas?,Around 95%.
73,Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,What is the main goal of decarbonising the power sector?,To combat climate change.
74,Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,What is the current source of the majority of electricity generation?,Natural gas.
75,Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,What is one way to shift towards decarbonising the power sector?,Maximising solar deployment.
76,Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,What is the importance of decarbonising the power sector?,To combat climate change.
77,Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,What is the current state of electricity generation in terms of carbon emissions?,High carbon emissions.
78,Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,What is the potential solution to reduce carbon emissions in the power sector?,Maximising solar deployment.
79,Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,What is the current source of electricity generation that needs to be reduced?,Natural gas.
80,Round Up Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,What has Singapore been doing to ramp up solar energy production?,Singapore has been ramping up solar energy production locally from this year.
81,Round Up Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,Is Singapore one of the most solar-dense cities in the world?,"Yes, Singapore is now one of the most solar-dense cities in the world."
82,Round Up Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,Will solar energy alone be sufficient to meet Singapore's energy needs?,"No, solar energy alone will not be sufficient to meet Singapore's energy needs."
83,Round Up Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,What is the maximum solar potential of Singapore by 2050 according to a study?,The maximum solar potential of Singapore by 2050 according to a study is 8GWp.
84,Round Up Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,What percentage of Singapore's future energy needs can be met by harnessing the maximum solar potential?,"Even if all of the maximum solar potential is harnessed, it will only roughly provide 10% of Singapore's future energy needs."
85,Round Up Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,What will Singapore have to do to meet its energy needs?,Singapore will have to import renewable electricity from the region to meet its energy needs.
86,Round Up Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,Which institute conducted the study on Singapore's solar potential?,The Solar Energy Research Institute of Singapore (SERIS) conducted the study on Singapore's solar potential.
87,Round Up Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,When did Singapore start ramping up solar energy production?,Singapore started ramping up solar energy production locally from this year.
88,Round Up Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,What is the significance of Singapore being one of the most solar-dense cities in the world?,Being one of the most solar-dense cities in the world means that Singapore has a high concentration of solar panels per unit of land area.
89,Round Up Speech by 2M Tan See Leng at the Second Reading of the Energy (Resilience Measures and Miscellaneous Amendments) Bill,What is the role of renewable electricity in meeting Singapore's energy needs?,Renewable electricity from the region will have to be imported to meet Singapore's energy needs.
90,Response by Minister Gan Kim Yong to the motion 'Towards a Low-Carbon Society',What is the Ministry of Trade and Industry and the Energy Market Authority (EMA) doing?,They are accelerating solar deployment and plan to import up to four gigawatts (GW) of electricity by 2035.
91,Response by Minister Gan Kim Yong to the motion 'Towards a Low-Carbon Society',Is there any subsidy for solar deployment?,"No, there are no subsidies for solar deployment as solar is already cheaper than retail electricity."
92,Response by Minister Gan Kim Yong to the motion 'Towards a Low-Carbon Society',What schemes does EMA have?,EMA has schemes to facilitate the sale of excess electricity to the grid.
93,Response by Minister Gan Kim Yong to the motion 'Towards a Low-Carbon Society',What is the target year for importing up to four gigawatts (GW) of electricity?,The target year is 2035.
94,Response by Minister Gan Kim Yong to the motion 'Towards a Low-Carbon Society',Why is there no subsidy for solar deployment?,Solar is already cheaper than retail electricity.
95,Response by Minister Gan Kim Yong to the motion 'Towards a Low-Carbon Society',What is the role of the Ministry of Trade and Industry and the Energy Market Authority (EMA)?,They are accelerating solar deployment and planning to import up to four gigawatts (GW) of electricity by 2035.
96,Response by Minister Gan Kim Yong to the motion 'Towards a Low-Carbon Society',What is the purpose of EMA's schemes?,EMA's schemes facilitate the sale of excess electricity to the grid.
97,Response by Minister Gan Kim Yong to the motion 'Towards a Low-Carbon Society',What is the capacity of electricity that is planned to be imported by 2035?,Up to four gigawatts (GW) of electricity is planned to be imported by 2035.
98,Response by Minister Gan Kim Yong to the motion 'Towards a Low-Carbon Society',Is solar deployment encouraged in Singapore?,"Yes, solar deployment is being accelerated in Singapore."
99,Response by Minister Gan Kim Yong to the motion 'Towards a Low-Carbon Society',What is the focus of the Ministry of Trade and Industry and the Energy Market Authority (EMA)?,Their focus is on accelerating solar deployment and importing up to four gigawatts (GW) of electricity by 2035.
