Question,Answer
What is the concern regarding natural gas in relation to greenhouse gas emissions?,"Natural gas is a fossil fuel that emits greenhouse gas emissions when burned. As Singapore aims to reach Net Zero by 2050, there is a need to either abate these emissions or find a cleaner burning fuel to replace natural gas in the power sector."
What percentage of Singapore's emissions comes from the power sector?,The power sector accounts for around 40% of Singapore's emissions.
"Besides solar energy, what other green energy sources is Singapore considering?","Singapore is considering low-carbon electricity imports, hydrogen, and geothermal energy as alternative energy sources."
How much low-carbon electricity does Singapore plan to import by 2035?,"Singapore plans to import a capacity of up to four gigawatts of low-carbon electricity by 2035, which could make up around 30% of Singapore's projected energy supply."
What is Singapore's National hydrogen strategy?,Singapore's National hydrogen strategy outlines that low-carbon hydrogen could potentially supply up to half of Singapore's power needs by 2050.
What is the renewable energy disadvantage that Singapore faces?,"Singapore has a renewable energy disadvantage, meaning it has limited renewable energy resources. Although it has a lot of sunlight, the lack of available land hinders the deployment of solar energy, which can ultimately account for only about 10% of Singapore's electricity demand."
How would you describe the energy transition Singapore is undergoing?,The energy transition in Singapore is compared to performing open-heart surgery on a patient while the patient is still running a marathon. It's a complex task that will take many years to complete.
How is the government helping Singaporeans mitigate energy costs?,The government provides rebates to offset higher electricity prices and offer relief to households.
What is the cheapest form of energy?,The cheapest form of energy is the energy that is not used.
How can individuals contribute to energy savings in the meantime?,"Individuals can contribute to energy savings by using energy-efficient appliances, using fans instead of air conditioning when possible, turning off the water heater when not in use, and making other small efforts to save electricity."
What is Singapore's motivation for building one of the world's largest floating solar farms?,Singapore is building one of the world's largest floating solar farms to reduce its carbon footprint and transition to renewable energy sources.
How many solar panels are there in the Tenge Reservoir floating solar farm?,"The Tenge Reservoir floating solar farm consists of 122,000 solar panels."
How many arrays are there in the Tenge Reservoir floating solar farm?,The Tenge Reservoir floating solar farm has 16 arrays.
How many floats support the solar panels in the Tenge Reservoir floating solar farm?,"The Tenge Reservoir floating solar farm is supported by 250,000 floats."
What is the size of the Tenge Reservoir floating solar farm in hectares?,"The Tenge Reservoir floating solar farm covers a massive 45 hectares, which is equivalent to 45 football fields."
What is the capacity of the Tenge Reservoir floating solar farm?,The Tenge Reservoir floating solar farm has a capacity of 60 megawatt peak (MWp).
How many 4-room HDB flats can the Tenge Reservoir floating solar farm power for a year?,"The Tenge Reservoir floating solar farm can power around 16,000 4-room HDB flats for a year."
How much carbon emissions does the Tenge Reservoir floating solar farm offset annually?,"The Tenge Reservoir floating solar farm offsets 32 kilo tons of carbon emissions annually. This is equivalent to removing around 7,000 cars from the road."
Where are the two largest floating solar farms in the world located?,The two largest floating solar farms in the world are both located in China's Anhui Province.
What is the capacity of the two largest floating solar farms in the world?,"The two largest floating solar farms in the world, located in China's Anhui Province, have capacities of 150 megawatt peak (MWp) each."
When is the Tenge Reservoir floating solar farm expected to be operational?,The Tenge Reservoir floating solar farm is set to be operational in the second half of 2021.
What will be powered by the clean energy generated by the Tenge Reservoir floating solar farm?,"The clean energy generated by the Tenge Reservoir floating solar farm will be used to power PUB's local water treatment plants, which account for 7% of PUB's electricity needs in Singapore."
What technology is used to generate power in the Tenge Reservoir floating solar farm?,The Tenge Reservoir floating solar farm uses photovoltaic (PV) technology to generate power from the sun.
How does photovoltaic (PV) technology work?,"Photovoltaic (PV) technology works by converting sunlight into electricity. When sunlight hits the PV panels' cells, the absorbed radiation triggers a reaction that generates a direct electric current. This current is then converted into an alternating current by a power conditioning system and channeled into the power grid."
How are the solar panels assembled in the Tenge Reservoir floating solar farm?,"The solar panels are assembled into arrays on the bank of the reservoir and then fixed to floats. Once a portion is assembled, it is towed out by a tugboat to its allocated location, where anchors are planted in the reservoir bed to prevent drifting."
How did SamCorp deal with delays caused by the COVID-19 pandemic during construction?,"SamCorp increased worker productivity to compensate for delayed shipments of parts caused by the COVID-19 pandemic. They innovated a jig to assemble the panels faster, improving productivity from 1,500 to about 1,800 panels per day."
How often do workers take swap tests at the construction site of the Tenge Reservoir floating solar farm?,Workers take swap tests on a fortnightly (every two weeks) basis as a precautionary measure before entering the construction site of the Tenge Reservoir floating solar farm.
How was the preservation of the reservoir's ecosystem taken into consideration during construction?,"During construction, the preservation of the reservoir's ecosystem was considered by assessing various factors such as biodiversity impact, water quality, and noise. The solar panels are certified food-grade high-density polyethylene (HDPE) floats, ensuring no concerns regarding leaching and making them safe for water treatment purposes."
How much of Singapore's 1.5-gigawatt target does SamCorp's projects contribute to?,"SamCorp's projects, including the Tenge Reservoir floating solar PV, contribute a quarter (approximately 375 megawatts peak) of Singapore's 1.5-gigawatt peak target for solar energy."
How many other solar PV systems does PUB have in addition to the Tenge Reservoir floating solar PV?,"In addition to the Tenge Reservoir floating solar PV, PUB has two systems coming online this year: one at Bedok Reservoir and the other at Lower Seletar Reservoir. Both have capacities of 1.5 megawatt peak (MWp) each."
Which program has PUB enrolled in to expand Singapore's use of clean energy?,"PUB has enrolled in the SolarNova program, launched by HDB (Housing and Development Board) and EDB (Economic Development Board). PUB has enrolled approximately 13 sites onto the program, further maximizing the use of solar PV systems within their infrastructure."
What is PUB's plan regarding the implementation of more solar PV systems?,PUB plans to progressively implement more solar PV systems when opportunities arise. They have had positive experiences with the implemented systems and aim to continue expanding the use of clean energy in Singapore.
